1,Austria,Hungary,Hungary
1,Belgium,Italy,Italy
1,Croatia,Turkey,Croatia
1,Czech Republic,Spain,Spain
1,England,Russia,Draw
1,Germany,Ukraine,Germany
1,Iceland,Portugal,Draw
1,Northern Ireland,Poland,Poland
1,Republic of Ireland,Sweden,Draw
1,Slovakia,Wales,Wales
2,Austria,Portugal,Draw
2,Belgium,Republic of Ireland,Belgium
2,Croatia,Czech Republic,Draw
2,England,Wales,England
2,Germany,Poland,Draw
2,Hungary,Iceland,Draw
2,Italy,Sweden,Italy
2,Northern Ireland,Ukraine,Northern Ireland
2,Russia,Slovakia,Slovakia 
2,Spain,Turkey,Spain
